surah,ayah,start_s,end_s,source
88,1,6.337,9.716,aligned
88,2,10.857,15.396,aligned
88,3,16.36,19.867,aligned
88,4,20.754,23.635,aligned
88,5,24.575,29.078,aligned
88,6,30.857,37.315,aligned
88,7,38.442,44.679,aligned
88,8,46.074,51.231,aligned
88,9,52.209,54.676,aligned
88,10,55.82,59.231,aligned
88,11,59.987,63.445,aligned
88,12,64.552,69.486,aligned
88,13,69.486,73.554,aligned
88,14,74.44,78.346,aligned
88,15,79.02,81.903,aligned
88,16,82.6,85.547,aligned
88,17,86.812,92.599,aligned
88,18,93.64,98.754,aligned
88,19,99.725,102.989,aligned
88,20,103.971,106.823,aligned
88,21,108.627,116.109,aligned
88,22,117.08,120.861,aligned
88,23,122.727,126.68,aligned
88,24,127.975,132.056,aligned
88,25,133.48,138.972,aligned
88,26,139.982,144.989,aligned
